time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,upid_backward,wpid_backward,r
15,1,7.1861913445006,1,7.1861913445006,0.0935296722394768,0.687222638520279,0.0935296722394768,0.687222638520279,0.0951413456814579,0.942733213486961,0.0951413456814579,0.942733213486961,0.0949105314938755,0.939607643706741,1
15.1,1,7.81984803185439,1,7.81984803185439,0.094169255570381,0.673194030575597,0.094169255570381,0.673194030575597,0.0952598175130637,0.943982982719988,0.0952598175130637,0.943982982719988,0.0950281615612635,0.942279401960901,1
15.2,1,8.48933395342866,1,8.48933395342866,0.0948316512217863,0.664410318019042,0.0948316512217863,0.664410318019042,0.0953758976985574,0.945180317099879,0.0953758976985574,0.945180317099879,0.0951436339303069,0.944873039363335,1
15.3,1,9.18077436711224,1,9.18077436711224,0.0955061154552316,0.661125448535632,0.0955061154552316,0.661125448535632,0.0954896334207303,0.946325238700043,0.0954896334207303,0.946325238700043,0.0952570476745043,0.947360456036338,1
15.4,1,9.87998702252605,1,9.87998702252605,0.0961815056397389,0.663484366957097,0.0961815056397389,0.663484366957097,0.0956010708836148,0.947418349786496,0.0956010708836148,0.947418349786496,0.0953684946166672,0.949715541600073,1
15.5,1,10.5727716560618,1,10.5727716560618,0.0968465022659253,0.671519006856545,0.0968465022659253,0.671519006856545,0.0957102553564444,0.94846082440276,0.0957102553564444,0.94846082440276,0.0954780584739022,0.951914702919863,1
15.6,1,11.2451970127364,1,11.2451970127364,0.0974898367345943,0.685146524474423,0.0974898367345943,0.685146524474423,0.0958172312164953,0.949454388291572,0.0958172312164953,0.949454388291572,0.0955858141593311,0.953937334383071,1
15.7,1,11.8838796212584,1,11.8838796212584,0.0981005203770414,0.704169833078448,0.0981005203770414,0.704169833078448,0.0959220419903528,0.950401287682073,0.0959220419903528,0.950401287682073,0.0956918272537293,0.955766221598182,1
15.8,1,12.4762487718674,1,12.4762487718674,0.0986680700939861,0.728280449976888,0.0986680700939861,0.728280449976888,0.0960247303931706,0.951304247690668,0.0960247303931706,0.951304247690668,0.0957961536566175,0.957387870874168,1
15.9,1,13.0107924796087,1,13.0107924796087,0.0991827260221936,0.757063621815599,0.0991827260221936,0.757063621815599,0.0961253383655306,0.952166421285898,0.0961253383655306,0.952166421285898,0.0958988394225343,0.958792758446337,1
16,1,13.4772796509261,1,13.4772796509261,0.0996356567529496,0.790005647428412,0.0996356567529496,0.790005647428412,0.0962239071075535,0.952991329948554,0.0962239071075535,0.952991329948554,0.0959999207843376,0.959975495131007,1
16.1,1,13.8669541990158,1,13.8669541990158,0.100019147833205,0.826503272316604,0.100019147833205,0.826503272316604,0.0963204771099654,0.953782797314461,0.0963204771099654,0.953782797314461,0.0960994243614965,0.960934903879027,1
16.2,1,14.1726974617142,1,14.1726974617142,0.100326769575157,0.865874985730687,0.100326769575157,0.865874985730687,0.0964150881818777,0.954544877215941,0.0964150881818777,0.954544877215941,0.096197367547538,0.961674009519827,1
16.3,1,14.3891559517114,1,14.3891559517114,0.100553520578218,0.907374011208192,0.100553520578218,0.907374011208192,0.0965077794751055,0.955281777636617,0.0965077794751055,0.955281777636617,0.0962937590671699,0.962199941805347,1
16.4,1,14.5128321982822,1,14.5128321982822,0.100695943821886,0.950202745124645,0.100695943821886,0.950202745124645,0.0965985895049083,0.955997782161286,0.0965985895049083,0.955997782161287,0.0963885996901925,0.962523754639508,1
16.5,1,14.5421372072312,1,14.5421372072312,0.100752212710648,0.993528366112841,0.100752212710648,0.993528366112841,0.0966875561671079,0.956697170536977,0.0966875561671079,0.956697170536977,0.0964818830862051,0.96266016607761,1
16.6,1,14.4774038555065,1,14.4774038555065,0.100722185032751,1.03649931178425,0.100722185032751,1.03649931178425,0.0967747167516029,0.957384139962721,0.0967747167516029,0.957384139962721,0.0965735968013643,0.962627225266889,1
16.7,1,14.3208613327474,1,14.3208613327474,0.100607423422335,1.07826229863217,0.100607423422335,1.07826229863217,0.0968601079523657,0.958062728694267,0.0968601079523657,0.958062728694267,0.0966637233361228,0.962445913942964,1
16.8,1,14.0765715277899,1,14.0765715277899,0.100411181576919,1.11797954678316,0.100411181576919,1.11797954678316,0.0969437658740717,0.95873674348694,0.0969437658740717,0.958736743486941,0.0967522413009999,0.962139691368638,1
16.9,1,13.7503290180596,1,13.7503290180596,0.100138356166394,1.15484586374171,0.100138356166394,1.15484586374171,0.0970257260355713,0.959409692306683,0.0970257260355713,0.959409692306683,0.0968391266260566,0.961733992677118,1
17,1,13.3495270387599,1,13.3495270387599,0.0997954050619908,1.18810524066188,0.0997954050619908,1.18810524066188,0.0971060233704678,0.960084723618211,0.0971060233704678,0.960084723618211,0.0969243537988811,0.961255691440898,1
17.1,1,12.8829924726743,1,12.8829924726743,0.0993902332002688,1.21706662106013,0.0993902332002688,1.21706662106013,0.0971846922251193,0.960764573412912,0.0971846922251193,0.960764573412912,0.0970078971055553,0.960732537914897,1
17.2,1,12.3607934973884,1,12.3607934973884,0.0989320480640112,1.24111851519747,0.0989320480640112,1.24111851519747,0.0972617663544191,0.961451520970778,0.0972617663544191,0.961451520970778,0.0970897318492631,0.960192584787347,1
17.3,1,11.794024043413,1,11.794024043413,0.0984311873954084,1.25974215340532,0.0984311873954084,1.25974215340532,0.0973372789157497,0.962147354163991,0.0973372789157497,0.962147354163991,0.0971698355219182,0.959663612408853,1
17.4,1,11.1945696444096,1,11.1945696444096,0.0978989223439303,1.27252289807275,0.0978989223439303,1.27252289807275,0.0974112624615292,0.962853344908682,0.0974112624615292,0.962853344908682,0.0972481889054002,0.959172565358863,1
17.5,1,10.5748595916994,1,10.5748595916994,0.0973472397794771,1.27915966638046,0.0973472397794771,1.27915966638046,0.0974837489307908,0.96357023516007,0.0974837489307908,0.96357023516007,0.0973247770806743,0.958745011854096,1
17.6,1,9.94761053375347,1,9.94761053375347,0.09678860795953,1.27947215356665,0.09678860795953,1.27947215356665,0.0975547696402408,0.964298233629066,0.0975547696402408,0.964298233629066,0.0973995903251851,0.958404636915304,1
17.7,1,9.32556678379355,1,9.32556678379355,0.0962357301171311,1.27340568883226,0.0962357301171311,1.27340568883226,0.0976243552752463,0.965037023179917,0.0976243552752463,0.965037023179917,0.0974726248814117,0.958172779401358,1
17.8,1,8.72124261355061,1,8.72124261355061,0.095701290826169,1.26103360212976,0.095701290826169,1.26103360212976,0.0976925358811919,0.965785778652984,0.0976925358811919,0.965785778652984,0.0975438835822999,0.958068022012178,1
17.9,1,8.14667171938232,1,8.14667171938232,0.0951977001949019,1.24255702913736,0.0951977001949019,1.24255702913736,0.0977593408556279,0.966543194648673,0.0977593408556279,0.966543194648673,0.0976133763223759,0.958105842177048,1
18,1,7.61316885124536,1,7.61316885124536,0.0947368410330276,1.21830213273694,0.0947368410330276,1.21830213273694,0.0978247989416096,0.96730752261194,0.0978247989416096,0.96730752261194,0.0976811203666398,0.958298330408787,1
18.1,1,7.13110830042099,1,7.13110830042099,0.0943298241290118,1.18871477127893,0.0943298241290118,1.18871477127893,0.0978889382225896,0.968076616375532,0.0978889382225896,0.968076616375531,0.0977471404927557,0.958653981246071,1
18.2,1,6.70972355532619,1,6.70972355532619,0.0939867566619428,1.15435269578999,0.0939867566619428,1.15435269578999,0.0979517861191911,0.968847985157776,0.0979517861191911,0.968847985157776,0.0978114689655347,0.959177560357308,1
18.3,1,6.35693196491573,1,6.35693196491573,0.0937165285571411,1.11587540901168,0.0937165285571411,1.11587540901168,0.0980133693881365,0.969618852870285,0.0980133693881365,0.969618852870285,0.0978741453461699,0.959870049772588,1
18.4,1,6.0791877064,1,6.0791877064,0.0935266212804153,1.07403186771416,0.0935266212804153,1.07403186771416,0.0980737141235636,0.97038622247507,0.0980737141235636,0.97038622247507,0.0979352161420615,0.9607286715793,1
18.5,1,5.88136574994844,1,5.88136574994844,0.0934229431575962,1.02964625510495,0.0934229431575962,1.02964625510495,0.0981328457608967,0.971146944041359,0.0981328457608967,0.971146944041359,0.0979947343062913,0.961746988795637,1
18.6,1,5.76667886052115,1,5.76667886052115,0.093409694811089,0.983602091402271,0.093409694811089,0.983602091402271,0.0981907890833912,0.971897785091376,0.0981907890833912,0.971897785091376,0.0980527585988109,0.962915080557995,1
18.7,1,5.73662898962771,1,5.73662898962771,0.0934892677327977,0.936824986889074,0.0934892677327977,0.936824986889074,0.0982475682314031,0.972635501792436,0.0982475682314031,0.972635501792436,0.0981093528241321,0.964219787255068,1
18.8,1,5.79099370187856,1,5.79099370187856,0.0936621783736814,0.890264372227166,0.0936621783736814,0.890264372227166,0.0983032067143803,0.973356909550296,0.0983032067143803,0.973356909550296,0.0981645849626982,0.96564501984372,1
18.9,1,5.9278475671714,1,5.9278475671714,0.0939270394366377,0.844874564816515,0.0939270394366377,0.844874564816515,0.0983577274255108,0.974058951585495,0.0983577274255108,0.974058951585495,0.0982185262151295,0.967172126316986,1
19,1,6.1436177437275,1,6.1436177437275,0.0942805693248373,0.801595546983931,0.0942805693248373,0.801595546983931,0.0984111526589052,0.974738764129597,0.0984111526589053,0.974738764129597,0.0982712499801334,0.968780307187751,1
19.1,1,6.43317229413006,1,6.43317229413006,0.094717639936489,0.761333841364359,0.094717639936489,0.761333841364359,0.09846350412914,0.975393736960452,0.09846350412914,0.975393736960452,0.0983228307880197,0.970447070923816,1
19.2,1,6.78993912959725,1,6.78993912959725,0.0952313622243954,0.724943870729265,0.0952313622243954,0.724943870729265,0.098514802992933,0.976021568102744,0.0985148029929331,0.976021568102744,0.0983733432124524,0.972148719538633,1
19.3,1,7.206052879659,1,7.206052879659,0.0958132081700612,0.693210183604963,0.0958132081700612,0.693210183604963,0.0985650698726845,0.976620311649994,0.0985650698726845,0.976620311649994,0.0984228607832813,0.973860854019948,1
19.4,1,7.67252644680103,1,7.67252644680103,0.0964531670731057,0.666830913350537,0.0964531670731057,0.666830913350537,0.0986143248815714,0.977188417813738,0.0986143248815714,0.977188417813738,0.0984714549230403,0.975558888974634,1
19.5,1,8.17944353875968,1,8.17944353875968,0.0971399333426262,0.646402817128936,0.0971399333426262,0.646402817128936,0.0986625876498564,0.977724764471776,0.0986625876498564,0.977724764471776,0.0985191939289753,0.977218565786132,1
19.6,1,8.7161680837342,1,8.7161680837342,0.0978611223127383,0.632408212758924,0.0978611223127383,0.632408212758924,0.0987098773520445,0.978228679666551,0.0987098773520445,0.97822867966655,0.098566142021302,0.978816453720606,1
19.7,1,9.27156613287653,1,9.27156613287653,0.0986035100036969,0.625204096282532,0.0986035100036969,0.625204096282532,0.098756212734505,0.978699954693123,0.098756212734505,0.978699954693123,0.0986123584768127,0.980330428773961,1
19.8,1,9.83423564525317,1,9.83423564525317,0.0993532922255491,0.62501368186525,0.0993532922255491,0.62501368186525,0.0988016121431671,0.979138847610043,0.0988016121431671,0.979138847610043,0.0986578968649918,0.98174012061482,1
19.9,1,10.3927394363744,1,10.3927394363744,0.100096357984548,0.631920559136318,0.100096357984548,0.631920559136318,0.0988460935508963,0.979546077201555,0.0988460935508963,0.979546077201555,0.0987028044015126,0.983027318734581,1
20,1,10.9358365537279,1,10.9358365537279,0.10081857181325,0.645865612160686,0.10081857181325,0.645865612160686,0.098889674584166,0.979922807612232,0.098889674584166,0.979922807612232,0.0987471214314066,0.984176329847329,1
20.1,1,11.452707420946,1,11.452707420946,0.101506059411193,0.666646789896679,0.101506059411193,0.666646789896679,0.0989323725486537,0.980270624061297,0.0989323725486537,0.980270624061297,0.0987908810514001,0.985174279668558,1
20.2,1,11.9331682637622,1,11.9331682637622,0.102145490859999,0.693921761297596,0.102145490859999,0.693921761297596,0.098974204453413,0.980591500219956,0.098974204453413,0.980591500219956,0.0988341088779403,0.986011353418515,1
20.3,1,12.3678705913909,1,12.3678705913909,0.102724355668418,0.727213430282812,0.102724355668418,0.727213430282812,0.0990151870333022,0.980887757997548,0.0990151870333022,0.980887757997548,0.0988768229643603,0.986680970716949,1
20.4,1,12.7484818502627,1,12.7484818502627,0.103231224010343,0.765918227792259,0.103231224010343,0.765918227792259,0.0990553367693855,0.981162020628051,0.0990553367693855,0.981162020628051,0.0989190338675203,0.987179891932964,1
20.5,1,13.0678437854223,1,13.0678437854223,0.103655988741333,0.809317041218394,0.103655988741333,0.809317041218394,0.0990946699070632,0.981417160074749,0.0990946699070632,0.981417160074749,0.0989607448611717,0.987508254496888,1
20.6,1,13.3201055291517,1,13.3201055291517,0.103990083113272,0.85658858684241,0.103990083113272,0.85658858684241,0.0991332024717343,0.981656239875237,0.0991332024717343,0.981656239875237,0.0990019522902934,0.987669539140353,1
20.7,1,13.5008289761038,1,13.5008289761038,0.104226669546816,0.90682497961336,0.104226669546816,0.90682497961336,0.0991709502818406,0.981882454629613,0.0991709502818406,0.981882454629613,0.0990426460577967,0.98767046747591,1
20.8,1,13.6070645879584,1,13.6070645879584,0.104360795359433,0.95904920776962,0.104360795359433,0.95904920776962,0.0992079289591972,0.982099067390225,0.0992079289591972,0.982099067390225,0.0990828102323505,0.987520833728825,1
20.9,1,13.6373963861401,1,13.6373963861401,0.104389511973261,1.01223417840236,0.104389511973261,1.01223417840236,0.0992441539365629,0.982309346240868,0.0992441539365629,0.982309346240868,0.0991224237636954,0.987233274762698,1
21,1,13.5919555256996,1,13.5919555256996,0.104311954829868,1.06532296499107,0.104311954829868,1.06532296499107,0.0992796404624618,0.982516501356549,0.0992796404624618,0.982516501356549,0.0991614612897328,0.986822983770703,1
21.1,1,13.4724024840723,1,13.4724024840723,0.104129382004904,1.11724985997303,0.104129382004904,1.11724985997303,0.0993144036033155,0.982723623812006,0.0993144036033155,0.982723623812007,0.0991998940179413,0.986307374111,1
21.2,1,13.2818785320746,1,13.2818785320746,0.103845170329752,1.1669618151787,0.103845170329752,1.1669618151787,0.099348458243002,0.98293362735889,0.099348458243002,0.982933627358891,0.0992376906623147,0.985705700726867,1
21.3,1,13.0249277684586,1,13.0249277684586,0.103464768673616,1.21343984095771,0.103464768673616,1.21343984095771,0.0993818190799987,0.983149194319028,0.0993818190799987,0.983149194319029,0.0992748184160622,0.985038647390803,1
21.4,1,12.7073915814032,1,12.7073915814032,0.102995608901295,1.2557199313627,0.102995608901295,1.2557199313627,0.0994145006223187,0.983372726646313,0.0994145006223187,0.983372726646313,0.099311243939769,0.984327888632602,1
21.5,1,12.3362779390366,1,12.3362779390366,0.102446975881929,1.29291308800291,0.102446975881929,1.29291308800291,0.0994465171804841,0.983606303094534,0.0994465171804842,0.983606303094535,0.0993469343446059,0.983595635643065,1
21.6,1,11.9196083959967,1,11.9196083959967,0.101829838764816,1.32422402911066,0.101829838764816,1.32422402911066,0.0994778828588179,0.983851643295517,0.0994778828588179,0.983851643295518,0.0993818581504805,0.98286417568079,1
21.7,1,11.4662461248794,1,11.4662461248794,0.101156646542921,1.34896819278389,0.101156646542921,1.34896819278389,0.0995086115453626,0.984110079404058,0.0995086115453626,0.984110079404058,0.0994159861997424,0.982155414546314,1
21.8,1,10.9857086322965,1,10.9857086322965,0.100441091676226,1.36658667391186,0.100441091676226,1.36658667391186,0.0995387169007582,0.984382535806536,0.0995387169007582,0.984382535806537,0.0994492925081692,0.981490431527216,1
21.9,1,10.4879690927685,1,10.4879690927685,0.0996978462298934,1.37665877242034,0.0996978462298934,1.37665877242034,0.099568212346426,0.984669517222051,0.099568212346426,0.984669517222052,0.0994817550364334,0.980889055864804,1
22,1,9.98325042505393,1,9.98325042505393,0.0989422755819773,1.37891187549578,0.0989422755819773,1.37891187549578,0.0995971110524126,0.98497110535196,0.0995971110524126,0.984971105351961,0.0995133563670615,0.980369473257049,1
22.1,1,9.48181634169691,1,9.48181634169691,0.0981901352589595,1.37322844752206,0.0981901352589595,1.37322844752206,0.099625425925251,0.985286964059372,0.099625425925251,0.985286964059372,0.0995440842739944,0.979947870206344,1
22.2,1,8.99376362225451,1,8.99376362225451,0.0974572568538185,1.35964995761892,0.0974572568538185,1.35964995761892,0.0996531695961886,0.985616352887934,0.0996531695961886,0.985616352887934,0.0995739321742043,0.97963812316078,1
22.3,1,8.5288197942931,1,8.5288197942931,0.0967592292613748,1.33837763482473,0.0967592292613748,1.33837763482473,0.0996803544101186,0.98595814856269,0.0996803544101186,0.98595814856269,0.0996028994533557,0.979451538403214,1
22.4,1,8.096150256001,1,8.096150256001,0.0961110816226089,1.30977000394122,0.0961110816226089,1.30977000394122,0.0997069924155319,0.986310873958105,0.0997069924155319,0.986310873958105,0.0996309916601808,0.979396647535367,1
22.5,1,7.70417864401294,1,7.70417864401294,0.0955269743990546,1.27433721961303,0.0955269743990546,1.27433721961303,0.0997330953557816,0.986672733872714,0.0997330953557816,0.986672733872715,0.0996582205669946,0.979479062208483,1
22.6,1,7.36042394521329,1,7.36042394521329,0.095019904898382,1.2327322810596,0.095019904898382,1.2327322810596,0.0997586746619184,0.987041656819039,0.0997586746619184,0.987041656819039,0.0996846040965606,0.979701390493226,1
22.7,1,7.07135747876858,1,7.07135747876858,0.094601433343616,1.1857392737064,0.094601433343616,1.1857392737064,0.0997837414473217,0.987415341923901,0.0997837414473217,0.9874153419239,0.0997101661182706,0.980063215986215,1
22.8,1,6.8422824426239,1,6.8422824426239,0.0942814352244335,1.13425884547607,0.0942814352244335,1.13425884547607,0.0998083065043082,0.987791309940256,0.0998083065043082,0.987791309940256,0.0997349361192636,0.980561139445763,1
22.9,1,6.67723823649244,1,6.67723823649244,0.0940678851955249,1.0792911834325,0.0940678851955249,1.0792911834325,0.0998323803028582,0.988166957298722,0.0998323803028582,0.988166957298722,0.099758948758628,0.981188881462258,1
23,1,6.57893125120391,1,6.57893125120391,0.0939666772024759,1.02191680961651,0.0939666772024759,1.02191680961651,0.0998559729915515,0.988539612076502,0.0998559729915515,0.988539612076502,0.099782243315159,0.981937443425305,1
23.1,1,6.5486932630969,1,6.5486932630969,0.0939814848307106,0.963275562148766,0.0939814848307106,0.963275562148766,0.0998790944007605,0.988906590734087,0.0998790944007605,0.988906590734087,0.0998048630412277,0.98279532287565,1
23.2,1,6.58646800335877,1,6.58646800335877,0.0941136651005706,0.904544167991296,0.0941136651005706,0.904544167991296,0.0999017540480963,0.989265254466309,0.0999017540480964,0.989265254466309,0.0998268544371253,0.983748778248324,1
23.3,1,6.69082589749824,1,6.69082589749824,0.09436220808631,0.846912846269288,0.09436220808631,0.846912846269288,0.0999239611460605,0.989613064033888,0.0999239611460605,0.989613064033887,0.099848266461738,0.984782137045976,1
23.4,1,6.85900640114567,1,6.85900640114567,0.0947237338350151,0.79156140502563,0.0947237338350151,0.79156140502563,0.0999457246118055,0.989947631983839,0.0999457246118055,0.989947631983839,0.0998691496965565,0.985878140646507,1
23.5,1,7.08698680655421,1,7.08698680655421,0.0951925371208475,0.739635309141904,0.0951925371208475,0.739635309141904,0.0999670530788677,0.99026677123102,0.0999670530788677,0.990266771231019,0.0998895554808136,0.987018318263041,1
23.6,1,7.36957587049736,1,7.36957587049736,0.0957606796091855,0.692222202520175,0.0957606796091855,0.692222202520175,0.0999879549106924,0.990568539057072,0.0999879549106924,0.990568539057072,0.0999095350359531,0.988183382049331,1
